sampleID	Subtype_mRNA	Subtype_DNAmeth	Subtype_protein	Subtype_miRNA	Subtype_CNA	Subtype_Integrative	Subtype_other	Subtype_Selected
TCGA-OR-A5KV-01	steroid-phenotype-high	CIMP-low	NA	miRNA_3	Quiet	COC3	C1A	ACC.CIMP-low
TCGA-OR-A5KW-01	steroid-phenotype-high	CIMP-low	3	miRNA_4	Chromosomal	COC1	C1A	ACC.CIMP-low
TCGA-OR-A5KX-01	steroid-phenotype-high+proliferation	CIMP-high	2	miRNA_3	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5KY-01	steroid-phenotype-high	CIMP-intermediate	3	miRNA_6	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5KZ-01	steroid-phenotype-high+proliferation	CIMP-intermediate	1	miRNA_4	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5L1-01	NA	NA	NA	NA	Chromosomal	NA	NA	ACC.NA
TCGA-OR-A5L2-01	NA	NA	NA	NA	Noisy	NA	NA	ACC.NA
TCGA-OR-A5L3-01	steroid-phenotype-high+proliferation	CIMP-low	NA	miRNA_6	Quiet	COC2	C1A	ACC.CIMP-low
TCGA-OR-A5L4-01	steroid-phenotype-low 	CIMP-low	NA	miRNA_4	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5L5-01	steroid-phenotype-low 	CIMP-low	NA	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5L6-01	steroid-phenotype-low 	CIMP-intermediate	NA	miRNA_2	Chromosomal	COC2	C1B	ACC.CIMP-intermediate
TCGA-OR-A5L8-01	steroid-phenotype-high	CIMP-low	NA	miRNA_1	Chromosomal	COC1	C1A	ACC.CIMP-low
TCGA-OR-A5L9-01	steroid-phenotype-low 	CIMP-low	NA	miRNA_1	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5LA-01	steroid-phenotype-low 	CIMP-low	NA	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5LB-01	steroid-phenotype-high	CIMP-intermediate	NA	miRNA_6	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5LC-01	steroid-phenotype-high+proliferation	CIMP-intermediate	NA	miRNA_1	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5LD-01	steroid-phenotype-high+proliferation	CIMP-high	1	miRNA_1	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5LE-01	steroid-phenotype-high+proliferation	CIMP-high	NA	miRNA_4	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5LF-01	NA	NA	NA	NA	Chromosomal	NA	NA	ACC.NA
TCGA-OR-A5LG-01	steroid-phenotype-high+proliferation	CIMP-low	3	miRNA_1	Noisy	COC3	C1A	ACC.CIMP-low
TCGA-OR-A5LH-01	steroid-phenotype-low 	CIMP-low	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5LI-01	NA	NA	NA	NA	Noisy	NA	NA	ACC.NA
TCGA-OR-A5LJ-01	steroid-phenotype-high+proliferation	CIMP-intermediate	1	miRNA_1	Noisy	COC3	C1A	ACC.CIMP-intermediate
TCGA-OR-A5LK-01	steroid-phenotype-low 	CIMP-intermediate	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-intermediate
TCGA-OR-A5LL-01	steroid-phenotype-high+proliferation	CIMP-low	3	miRNA_6	Noisy	COC3	C1B	ACC.CIMP-low
TCGA-OR-A5LM-01	steroid-phenotype-high	CIMP-intermediate	2	miRNA_1	Chromosomal	COC1	C1B	ACC.CIMP-intermediate
TCGA-OR-A5LN-01	steroid-phenotype-low 	CIMP-low	2	miRNA_6	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5LO-01	steroid-phenotype-high	CIMP-high	1	miRNA_4	Chromosomal	COC3	C1A	ACC.CIMP-high
TCGA-OR-A5LP-01	steroid-phenotype-low 	CIMP-low	2	miRNA_6	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5LR-01	steroid-phenotype-low 	CIMP-low	NA	miRNA_1	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-OR-A5LS-01	steroid-phenotype-high	CIMP-intermediate	1	miRNA_6	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-OR-A5LT-01	steroid-phenotype-low 	CIMP-intermediate	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-intermediate
TCGA-OU-A5PI-01	steroid-phenotype-high	CIMP-intermediate	3	miRNA_1	Chromosomal	COC2	C1A	ACC.CIMP-intermediate
TCGA-P6-A5OF-01	steroid-phenotype-high	CIMP-intermediate	NA	miRNA_1	NA	NA	C1A	ACC.CIMP-intermediate
TCGA-P6-A5OH-01	NA	NA	NA	NA	Noisy	NA	NA	ACC.NA
TCGA-PA-A5YG-01	steroid-phenotype-low 	CIMP-low	2	miRNA_6	Chromosomal	COC1	C1B	ACC.CIMP-low
TCGA-PK-A5H8-01	steroid-phenotype-low 	CIMP-intermediate	2	miRNA_5	NA	NA	C1B	ACC.CIMP-intermediate
TCGA-PK-A5H9-01	steroid-phenotype-low 	CIMP-low	3	miRNA_5	Quiet	COC1	C1B	ACC.CIMP-low
TCGA-PK-A5HA-01	steroid-phenotype-low 	CIMP-high	2	miRNA_5	Chromosomal	COC1	C1B	ACC.CIMP-high
TCGA-PK-A5HB-01	steroid-phenotype-high	CIMP-high	NA	miRNA_6	Noisy	COC3	C1A	ACC.CIMP-high
TCGA-PK-A5HC-01	NA	NA	NA	NA	Chromosomal	NA	NA	ACC.NA
TCGA-AB-2802-03	NA	NA	NA	3	NA	NA	NA	AML.NA
TCGA-AB-2803-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2805-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2806-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2807-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2808-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2810-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2811-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2812-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2813-03	5	NA	NA	2	NA	NA	NA	AML.5
TCGA-AB-2814-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2815-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2816-03	5	NA	NA	3	NA	NA	NA	AML.5
TCGA-AB-2817-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2818-03	5	NA	NA	3	NA	NA	NA	AML.5
TCGA-AB-2819-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2820-03	1	NA	NA	4	NA	NA	NA	AML.1
TCGA-AB-2821-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2822-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2823-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2824-03	2	NA	NA	3	NA	NA	NA	AML.2
TCGA-AB-2825-03	5	NA	NA	3	NA	NA	NA	AML.5
TCGA-AB-2826-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2828-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2830-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2832-03	6	NA	NA	2	NA	NA	NA	AML.6
TCGA-AB-2833-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2834-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-2835-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2836-03	5	NA	NA	3	NA	NA	NA	AML.5
TCGA-AB-2837-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2838-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2839-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2840-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2841-03	2	NA	NA	5	NA	NA	NA	AML.2
TCGA-AB-2842-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-2843-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2844-03	7	NA	NA	4	NA	NA	NA	AML.7
TCGA-AB-2845-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2846-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2847-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2848-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2849-03	2	NA	NA	4	NA	NA	NA	AML.2
TCGA-AB-2851-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2853-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2854-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2855-03	1	NA	NA	4	NA	NA	NA	AML.1
TCGA-AB-2856-03	1	NA	NA	1	NA	NA	NA	AML.1
TCGA-AB-2857-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2858-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2859-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2860-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-2861-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-2862-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2863-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2865-03	6	NA	NA	2	NA	NA	NA	AML.6
TCGA-AB-2866-03	7	NA	NA	1	NA	NA	NA	AML.7
TCGA-AB-2867-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2868-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2869-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2870-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2871-03	2	NA	NA	3	NA	NA	NA	AML.2
TCGA-AB-2872-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2873-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2874-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2875-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2876-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2877-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2878-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2879-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2880-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2881-03	6	NA	NA	1	NA	NA	NA	AML.6
TCGA-AB-2882-03	6	NA	NA	2	NA	NA	NA	AML.6
TCGA-AB-2883-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-2884-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2885-03	6	NA	NA	3	NA	NA	NA	AML.6
TCGA-AB-2886-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2887-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2888-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2889-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2890-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2891-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2892-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2893-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-2894-03	4	NA	NA	2	NA	NA	NA	AML.4
TCGA-AB-2895-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2897-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2898-03	4	NA	NA	2	NA	NA	NA	AML.4
TCGA-AB-2899-03	6	NA	NA	2	NA	NA	NA	AML.6
TCGA-AB-2900-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2901-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2903-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2904-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2908-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2909-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2910-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-2911-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2912-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-2913-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2914-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2915-03	2	NA	NA	4	NA	NA	NA	AML.2
TCGA-AB-2916-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2917-03	4	NA	NA	2	NA	NA	NA	AML.4
TCGA-AB-2918-03	1	NA	NA	4	NA	NA	NA	AML.1
TCGA-AB-2919-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2920-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2921-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2922-03	NA	NA	NA	4	NA	NA	NA	AML.NA
TCGA-AB-2923-03	NA	NA	NA	2	NA	NA	NA	AML.NA
TCGA-AB-2924-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2925-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2926-03	NA	NA	NA	4	NA	NA	NA	AML.NA
TCGA-AB-2927-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2928-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2929-03	6	NA	NA	2	NA	NA	NA	AML.6
TCGA-AB-2930-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2931-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2932-03	5	NA	NA	3	NA	NA	NA	AML.5
TCGA-AB-2933-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2934-03	5	NA	NA	3	NA	NA	NA	AML.5
TCGA-AB-2935-03	5	NA	NA	2	NA	NA	NA	AML.5
TCGA-AB-2936-03	2	NA	NA	4	NA	NA	NA	AML.2
TCGA-AB-2937-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2938-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2939-03	3	NA	NA	4	NA	NA	NA	AML.3
TCGA-AB-2940-03	2	NA	NA	4	NA	NA	NA	AML.2
TCGA-AB-2941-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2942-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2943-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2944-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2945-03	NA	NA	NA	3	NA	NA	NA	AML.NA
TCGA-AB-2946-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2947-03	NA	NA	NA	1	NA	NA	NA	AML.NA
TCGA-AB-2948-03	5	NA	NA	2	NA	NA	NA	AML.5
TCGA-AB-2949-03	6	NA	NA	2	NA	NA	NA	AML.6
TCGA-AB-2950-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2952-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2954-03	5	NA	NA	4	NA	NA	NA	AML.5
TCGA-AB-2955-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2956-03	1	NA	NA	2	NA	NA	NA	AML.1
TCGA-AB-2957-03	NA	NA	NA	4	NA	NA	NA	AML.NA
TCGA-AB-2959-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-2963-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2964-03	4	NA	NA	2	NA	NA	NA	AML.4
TCGA-AB-2965-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2966-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2967-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2969-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2970-03	6	NA	NA	2	NA	NA	NA	AML.6
TCGA-AB-2971-03	7	NA	NA	3	NA	NA	NA	AML.7
TCGA-AB-2972-03	2	NA	NA	3	NA	NA	NA	AML.2
TCGA-AB-2973-03	5	NA	NA	3	NA	NA	NA	AML.5
TCGA-AB-2975-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2976-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2977-03	1	NA	NA	3	NA	NA	NA	AML.1
TCGA-AB-2978-03	4	NA	NA	2	NA	NA	NA	AML.4
TCGA-AB-2979-03	2	NA	NA	4	NA	NA	NA	AML.2
TCGA-AB-2980-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2981-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2982-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2983-03	6	NA	NA	2	NA	NA	NA	AML.6
TCGA-AB-2984-03	4	NA	NA	4	NA	NA	NA	AML.4
TCGA-AB-2985-03	5	NA	NA	2	NA	NA	NA	AML.5
TCGA-AB-2986-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2987-03	5	NA	NA	1	NA	NA	NA	AML.5
TCGA-AB-2988-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2989-03	NA	NA	NA	3	NA	NA	NA	AML.NA
TCGA-AB-2990-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2991-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2992-03	5	NA	NA	3	NA	NA	NA	AML.5
TCGA-AB-2993-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-2994-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2995-03	2	NA	NA	2	NA	NA	NA	AML.2
TCGA-AB-2996-03	5	NA	NA	2	NA	NA	NA	AML.5
TCGA-AB-2997-03	NA	NA	NA	5	NA	NA	NA	AML.NA
TCGA-AB-2998-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-2999-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-3000-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-3001-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-3002-03	6	NA	NA	4	NA	NA	NA	AML.6
TCGA-AB-3005-03	7	NA	NA	2	NA	NA	NA	AML.7
TCGA-AB-3006-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-3007-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-AB-3008-03	2	NA	NA	4	NA	NA	NA	AML.2
TCGA-AB-3009-03	3	NA	NA	4	NA	NA	NA	AML.3
TCGA-AB-3011-03	4	NA	NA	3	NA	NA	NA	AML.4
TCGA-AB-3012-03	3	NA	NA	5	NA	NA	NA	AML.3
TCGA-BL-A0C8-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-BT-A20N-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-BT-A20P-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-BT-A3PH-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-BT-A42C-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-CF-A27C-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-CF-A3MF-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-CF-A3MG-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-CF-A3MH-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-CF-A3MI-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-CU-A3QU-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-CU-A3YL-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-DK-A1A6-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-DK-A1A7-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-DK-A1AA-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
TCGA-DK-A1AG-01	1	NA	NA	NA	NA	NA	NA	BLCA.1
